Problem,Worker ID,Age,Gender,Strong hand,Education,Answer,Confidence,Psolve,1 second,1000 seconds,1 minute,1000 minutes,1 hour,1000 hours,2000 hours,1000000 hours,Infinity,There is no way to know without additional information,Class
CR_Conf,A1HN2W2M73O741,37,Female,Right,High School/GED,There is no way to know without additional information,1,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver
CR_Conf,A1HYA9IORBCUW6,51,Female,Right,College,There is no way to know without additional information,7,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver
CR_Conf,A1HYD41SNHKM78,25,Male,Right,College,Infinity,8,31-40%,0-10%,0-10%,0-10%,11-20%,21-30%,31-40%,41-50%,71-80%,81-90%,61-70%,Non-Solver
CR_Conf,A1I007GRTCODQI,28,Male,Right,Graduate Degree,1000 minutes,7,11-20%,51-60%,61-70%,51-60%,71-80%,61-70%,61-70%,41-50%,51-60%,61-70%,51-60%,Non-Solver
CR_Conf,A1I3QYJJU5ACFR,33,Male,Right,College,Infinity,2,11-20%,0-10%,0-10%,0-10%,11-20%,11-20%,21-30%,21-30%,21-30%,21-30%,21-30%,Non-Solver
CR_Conf,A1I72NHC21347A,54,Female,Right,High School/GED,There is no way to know without additional information,7,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver
CR_Conf,A1I7URHRM80OJ9,63,Male,Right,High School/GED,1000 hours,7,51-60%,11-20%,11-20%,11-20%,11-20%,11-20%,31-40%,11-20%,11-20%,0-10%,0-10%,Non-Solver
CR_Conf,A1IBQ7MUUTWLS9,30,Male,Left,Graduate Degree,1 hour,8,61-70%,11-20%,21-30%,0-10%,11-20%,51-60%,31-40%,31-40%,0-10%,0-10%,0-10%,Solver
CR_Conf,A1ICXLX9EC5KMV,48,Male,Right,High School/GED,Infinity,8,11-20%,0-10%,0-10%,0-10%,11-20%,31-40%,51-60%,61-70%,61-70%,11-20%,0-10%,Non-Solver
CR_Conf,A1IEAOCJNSPVRX,29,Female,Right,College,Infinity,4,0-10%,0-10%,0-10%,0-10%,11-20%,21-30%,31-40%,41-50%,51-60%,61-70%,71-80%,Non-Solver
CR_Conf,A1IFJGY0AIFDBK,30,Male,Right,Graduate Degree,There is no way to know without additional information,3,31-40%,0-10%,11-20%,31-40%,51-60%,51-60%,61-70%,21-30%,0-10%,61-70%,61-70%,Non-Solver
CR_Conf,A1IHFGSOFAE7MK,57,Male,Right,High School/GED,1000 minutes,3,0-10%,0-10%,0-10%,0-10%,0-10%,21-30%,11-20%,11-20%,0-10%,21-30%,51-60%,Non-Solver
CR_Conf,A1IHFT9QVJ5H94,57,Female,Right,College,There is no way to know without additional information,7,71-80%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,81-90%,Non-Solver
CR_Conf,A1ILD5BPLI8X1P,24,Male,Right,College,Infinity,7,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,21-30%,21-30%,11-20%,31-40%,21-30%,Non-Solver
CR_Conf,A1IR488PZYN94W,28,Male,Right,Graduate Degree,1000 hours,7,41-50%,0-10%,0-10%,41-50%,21-30%,31-40%,51-60%,51-60%,41-50%,41-50%,31-40%,Non-Solver
CR_Conf,A1J1PWS99LFVPL,38,Female,Right,Graduate Degree,1 hour,9,31-40%,0-10%,0-10%,0-10%,0-10%,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,Solver
CR_Conf,A1J4N2SE30LCUH,71,Male,Right,Graduate Degree,There is no way to know without additional information,9,31-40%,0-10%,61-70%,21-30%,31-40%,21-30%,11-20%,0-10%,0-10%,41-50%,61-70%,Non-Solver
CR_Conf,A1J4SLXI1A1PF,67,Male,Right,College,There is no way to know without additional information,10,41-50%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,21-30%,31-40%,Non-Solver
CR_Conf,A1J7B88OY9694M,25,Female,Right,Graduate Degree,1000 minutes,6,31-40%,0-10%,0-10%,41-50%,61-70%,31-40%,21-30%,41-50%,31-40%,61-70%,41-50%,Non-Solver
CR_Conf,A1J82TFS52JTQ8,48,Male,Right,Graduate Degree,1 hour,5,51-60%,0-10%,0-10%,41-50%,51-60%,61-70%,41-50%,51-60%,41-50%,31-40%,31-40%,Solver
CR_Conf,A1J9IYN46FX00O,28,Male,Right,College,1 hour,3,11-20%,0-10%,0-10%,0-10%,11-20%,21-30%,0-10%,0-10%,0-10%,21-30%,11-20%,Solver
CR_Conf,A1JBP4MR0694WV,25,Female,Right,Graduate Degree,1 hour,8,51-60%,0-10%,0-10%,61-70%,41-50%,51-60%,31-40%,51-60%,21-30%,41-50%,21-30%,Solver
CR_Conf,A1JMD1M91WRWGB,45,Male,Both hands are equally strong,College,1 hour,7,21-30%,0-10%,0-10%,0-10%,11-20%,31-40%,11-20%,0-10%,0-10%,0-10%,0-10%,Solver
CR_Conf,A1JPUM7KH3020K,57,Female,Left,High School/GED,1000 hours,2,11-20%,0-10%,0-10%,0-10%,0-10%,21-30%,21-30%,11-20%,11-20%,31-40%,31-40%,Non-Solver
CR_Conf,A1JV64BL3WCK0G,40,Female,Left,High School/GED,There is no way to know without additional information,10,71-80%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,31-40%,31-40%,Non-Solver
CR_Conf,A1JVO7FLPATHUB,26,Male,Right,High School/GED,Infinity,1,11-20%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,31-40%,31-40%,0-10%,Non-Solver
CR_Conf,A1JY4MHK3V85FY,35,Male,Right,Graduate Degree,1 second,8,61-70%,71-80%,51-60%,41-50%,31-40%,41-50%,31-40%,21-30%,21-30%,21-30%,11-20%,Non-Solver
CR_Conf,A1KGCOR8OXYR72,33,Male,Right,College,Infinity,1,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,21-30%,31-40%,21-30%,Non-Solver
CR_Conf,A1KK732EBDOVXM,30,Female,Right,College,Infinity,8,11-20%,0-10%,0-10%,0-10%,21-30%,31-40%,31-40%,31-40%,11-20%,51-60%,71-80%,Non-Solver
CR_Conf,A1KKEN3JBVHJMO,18,Male,Right,College,1000 hours,4,21-30%,0-10%,31-40%,0-10%,11-20%,21-30%,61-70%,31-40%,41-50%,51-60%,71-80%,Non-Solver
CR_Conf,A1KOHXO0BIQB8T,66,Male,Right,High School/GED,There is no way to know without additional information,10,41-50%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,31-40%,31-40%,Non-Solver
CR_Conf,A1KRO0JWU6LT0I,35,Female,Right,College,Infinity,7,61-70%,0-10%,0-10%,0-10%,0-10%,11-20%,31-40%,21-30%,31-40%,51-60%,11-20%,Non-Solver
CR_Conf,A1KSD1NY2FPVG,35,Male,Both hands are equally strong,Graduate Degree,Infinity,4,21-30%,21-30%,21-30%,11-20%,31-40%,21-30%,31-40%,31-40%,21-30%,31-40%,31-40%,Non-Solver
CR_Conf,A1KWC8TW8ANBQ8,55,Female,Right,College,1000 minutes,6,51-60%,0-10%,0-10%,0-10%,11-20%,51-60%,21-30%,0-10%,0-10%,0-10%,0-10%,Non-Solver
CR_Conf,A1L2N1X8U8Z3W7,31,Female,Right,College,1000 hours,1,11-20%,0-10%,0-10%,0-10%,0-10%,21-30%,11-20%,11-20%,0-10%,11-20%,11-20%,Non-Solver
CR_Conf,A1L3937MY09J3I,36,Male,Right,College,1000 minutes,6,21-30%,0-10%,0-10%,0-10%,21-30%,0-10%,11-20%,11-20%,11-20%,21-30%,11-20%,Non-Solver
CR_Conf,A1L4BY5GG3U3LX,54,Male,Left,High School/GED,Infinity,10,71-80%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,51-60%,11-20%,Non-Solver
CR_Conf,A1L677O8032TL1,43,Female,Right,College,Infinity,2,81-90%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,21-30%,0-10%,Non-Solver
CR_Conf,A1LAEN77KY07TK,39,Male,Left,College,1000 minutes,4,31-40%,11-20%,61-70%,0-10%,31-40%,21-30%,21-30%,41-50%,21-30%,0-10%,0-10%,Non-Solver
CR_Conf,A1LD0QIDVO016U,49,Female,Right,College,2000 hours,4,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,21-30%,31-40%,11-20%,0-10%,0-10%,Non-Solver
CR_Conf,A1LKKK4H3XF42C,20,Male,Right,High School/GED,Infinity,2,11-20%,0-10%,0-10%,0-10%,11-20%,21-30%,31-40%,31-40%,21-30%,11-20%,0-10%,Non-Solver
CR_Conf,A1LSGYXKP6O1B8,34,Male,Right,College,There is no way to know without additional information,8,21-30%,0-10%,0-10%,0-10%,21-30%,0-10%,31-40%,11-20%,0-10%,0-10%,21-30%,Non-Solver
CR_Conf,A1LXW53Z5S9XG,43,Male,Right,College,Infinity,7,61-70%,0-10%,0-10%,0-10%,11-20%,11-20%,21-30%,21-30%,31-40%,61-70%,0-10%,Non-Solver
CR_Conf,A1M24593XO5Z3C,26,Male,Right,High School/GED,Infinity,5,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,31-40%,31-40%,61-70%,91-100%,21-30%,Non-Solver
CR_Conf,A1M3HU7RRX0BXZ,39,Female,Right,Graduate Degree,2000 hours,4,21-30%,11-20%,11-20%,21-30%,21-30%,21-30%,31-40%,31-40%,31-40%,41-50%,51-60%,Non-Solver
CR_Conf,A1M682B2WUSYJP,33,Male,Right,College,Infinity,6,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,31-40%,31-40%,Non-Solver
CR_Conf,A1M8NRHSH58X25,39,Male,Right,High School/GED,1 hour,2,31-40%,0-10%,11-20%,11-20%,31-40%,41-50%,51-60%,41-50%,11-20%,0-10%,11-20%,Solver
CR_Conf,A1MIB492BU9KIQ,44,Female,Right,College,Infinity,2,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver
CR_Conf,A1N0KY93FD1YXK,22,Female,Both hands are equally strong,College,1 minute,6,11-20%,61-70%,51-60%,51-60%,51-60%,61-70%,51-60%,41-50%,51-60%,61-70%,51-60%,Non-Solver
CR_Conf,A1N18MITH00IW7,28,Male,Right,Graduate Degree,1 minute,7,71-80%,11-20%,21-30%,61-70%,31-40%,21-30%,31-40%,31-40%,41-50%,31-40%,31-40%,Non-Solver
CR_Conf,A1N2O9SRQSVL03,28,Female,Right,College,Infinity,5,41-50%,0-10%,0-10%,0-10%,0-10%,41-50%,0-10%,31-40%,31-40%,61-70%,11-20%,Non-Solver
CR_Conf,A1N34IJ4VY3Y80,43,Female,Right,College,Infinity,3,51-60%,11-20%,11-20%,11-20%,11-20%,11-20%,0-10%,0-10%,0-10%,11-20%,11-20%,Non-Solver
CR_Conf,A1N35VV9QURKHX,43,Female,Right,College,1 hour,6,51-60%,0-10%,0-10%,0-10%,21-30%,51-60%,0-10%,0-10%,0-10%,0-10%,41-50%,Solver
CR_Conf,A1NCSZCN8EA787,44,Male,Right,College,1 hour,4,21-30%,0-10%,21-30%,41-50%,0-10%,31-40%,11-20%,0-10%,0-10%,21-30%,11-20%,Solver
CR_Conf,A1NENB83QRIAU,30,Male,Right,Graduate Degree,1 minute,10,81-90%,81-90%,71-80%,81-90%,51-60%,71-80%,71-80%,61-70%,71-80%,81-90%,61-70%,Non-Solver
CR_Conf,A1NGG9MJ39HX5L,30,Male,Right,Graduate Degree,1000 hours,8,51-60%,41-50%,51-60%,51-60%,51-60%,41-50%,61-70%,61-70%,51-60%,51-60%,51-60%,Non-Solver
CR_Conf,A1NITBXDX8TN7T,48,Female,Right,Graduate Degree,There is no way to know without additional information,10,11-20%,0-10%,0-10%,0-10%,0-10%,31-40%,41-50%,51-60%,41-50%,71-80%,81-90%,Non-Solver
CR_Conf,A1NKBXOTZAI1YK,32,Male,Right,High School/GED,2000 hours,3,11-20%,0-10%,11-20%,0-10%,11-20%,21-30%,11-20%,11-20%,0-10%,0-10%,41-50%,Non-Solver
CR_Conf,A1NR3COO33J99C,37,Male,Right,Graduate Degree,Infinity,9,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,91-100%,91-100%,Non-Solver
CR_Conf,A1NZFJHVJ9CNTO,29,Male,Right,High School/GED,Infinity,10,61-70%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,11-20%,11-20%,41-50%,11-20%,Non-Solver
CR_Conf,A1O6RWI7T20126,65,Female,Right,Graduate Degree,1000 hours,8,71-80%,11-20%,21-30%,31-40%,41-50%,51-60%,61-70%,71-80%,61-70%,51-60%,41-50%,Non-Solver
CR_Conf,A1OAPKSCEYJC37,28,Female,Right,Graduate Degree,1000 minutes,5,31-40%,0-10%,0-10%,0-10%,31-40%,21-30%,11-20%,21-30%,21-30%,0-10%,0-10%,Non-Solver
CR_Conf,A1OK1RLVXS2RKJ,29,Prefer not to say,Right,College,There is no way to know without additional information,10,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver
CR_Conf,A1OKMU27HBN9T3,46,Female,Right,College,There is no way to know without additional information,6,11-20%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,Non-Solver
CR_Conf,A1OL25WY0BYMMH,52,Male,Right,College,1 hour,8,31-40%,0-10%,0-10%,0-10%,11-20%,61-70%,31-40%,21-30%,0-10%,11-20%,21-30%,Solver
CR_Conf,A1OR82RF1ZFWP,68,Female,Right,High School/GED,Infinity,3,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,31-40%,71-80%,71-80%,Non-Solver
CR_Conf,A1OSRB1Q63XXWZ,58,Female,Right,College,Infinity,7,31-40%,0-10%,0-10%,0-10%,21-30%,31-40%,31-40%,21-30%,21-30%,51-60%,41-50%,Non-Solver
CR_Conf,A1OZN075MPLC9V,49,Male,Right,High School/GED,1000 hours,7,51-60%,0-10%,0-10%,0-10%,51-60%,0-10%,31-40%,11-20%,11-20%,11-20%,81-90%,Non-Solver
CR_Conf,A1P0FSO4SO9LAF,25,Male,Right,College,1000 minutes,9,41-50%,71-80%,91-100%,71-80%,81-90%,71-80%,61-70%,81-90%,71-80%,81-90%,91-100%,Non-Solver
CR_Conf,A1P3J34DH57JNB,34,Female,Right,College,Infinity,5,21-30%,0-10%,0-10%,11-20%,0-10%,0-10%,11-20%,0-10%,11-20%,11-20%,11-20%,Non-Solver
CR_Conf,A1PBRKFHSF1OF8,33,Female,Right,College,There is no way to know without additional information,3,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,11-20%,Non-Solver
CR_Conf,A1PHDT66U6IK4Q,65,Male,Right,College,There is no way to know without additional information,8,61-70%,0-10%,0-10%,0-10%,0-10%,11-20%,21-30%,31-40%,41-50%,51-60%,71-80%,Non-Solver
CR_Conf,A1PLQGQ95NICAF,45,Male,Left,College,There is no way to know without additional information,6,0-10%,0-10%,31-40%,11-20%,0-10%,11-20%,0-10%,0-10%,0-10%,51-60%,41-50%,Non-Solver
CR_Conf,A1PS11IRT9EFRI,46,Male,Right,Graduate Degree,1000 minutes,8,61-70%,71-80%,61-70%,71-80%,61-70%,51-60%,61-70%,71-80%,61-70%,51-60%,41-50%,Non-Solver
CR_Conf,A1PT6264PIYFCI,28,Female,Right,Graduate Degree,1 minute,6,41-50%,41-50%,31-40%,41-50%,51-60%,61-70%,41-50%,21-30%,31-40%,41-50%,41-50%,Non-Solver
CR_Conf,A1PUHCEBSOWETV,22,Male,Right,College,1000 seconds,3,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver
CR_Conf,A1Q68M0X4YXHKH,36,Prefer not to say,Right,College,Infinity,9,11-20%,0-10%,0-10%,0-10%,21-30%,21-30%,0-10%,0-10%,0-10%,41-50%,41-50%,Non-Solver
CR_Conf,A1QDDGYC5UB9YA,41,Female,Right,College,1 hour,3,0-10%,0-10%,0-10%,0-10%,11-20%,21-30%,31-40%,41-50%,51-60%,31-40%,31-40%,Solver
CR_Conf,A1QHJGHKDIG3T5,37,Female,Right,Graduate Degree,1000 hours,1,0-10%,31-40%,51-60%,21-30%,71-80%,31-40%,71-80%,51-60%,0-10%,11-20%,11-20%,Non-Solver
CR_Conf,A1QHNL8EE7XS4M,30,Female,Left,Graduate Degree,1 minute,10,61-70%,71-80%,81-90%,61-70%,61-70%,81-90%,81-90%,81-90%,71-80%,61-70%,81-90%,Non-Solver
CR_Conf,A1QOMPJQC9M6UO,32,Female,Right,High School/GED,1000 minutes,6,41-50%,0-10%,0-10%,0-10%,0-10%,61-70%,61-70%,61-70%,61-70%,61-70%,61-70%,Non-Solver
CR_Conf,A1QUBLZCONL4QD,40,Male,Right,College,1 hour,3,21-30%,0-10%,0-10%,0-10%,11-20%,21-30%,21-30%,31-40%,41-50%,31-40%,51-60%,Solver
CR_Conf,A1QVNF19XSRSD7,35,Male,Right,College,1000 minutes,5,21-30%,21-30%,11-20%,31-40%,41-50%,21-30%,31-40%,11-20%,21-30%,41-50%,31-40%,Non-Solver
CR_Conf,A1QW6HQKXCLS1N,27,Male,Right,College,1 hour,7,21-30%,0-10%,0-10%,0-10%,0-10%,31-40%,11-20%,0-10%,0-10%,0-10%,0-10%,Solver
CR_Conf,A1R5FQ17RRFMIF,38,Female,Right,College,1 hour,7,51-60%,51-60%,41-50%,51-60%,31-40%,41-50%,61-70%,31-40%,51-60%,41-50%,61-70%,Solver
CR_Conf,A1RATFICCKLCQ,31,Female,Right,College,Infinity,6,31-40%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,11-20%,11-20%,Non-Solver
CR_Conf,A1RZJN7U08N4Y5,35,Female,Right,College,1000 hours,1,11-20%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,Non-Solver
CR_Conf,A1S1K7134S2VUC,46,Male,Both hands are equally strong,Graduate Degree,There is no way to know without additional information,9,41-50%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,Non-Solver
CR_Conf,A1S1O9ZCONEGE3,22,Male,Right,College,Infinity,3,0-10%,0-10%,0-10%,11-20%,21-30%,41-50%,51-60%,51-60%,61-70%,51-60%,51-60%,Non-Solver
CR_Conf,A1S315FYTGY9GL,29,Male,Right,Graduate Degree,1000000 hours,2,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,21-30%,11-20%,11-20%,Non-Solver
CR_Conf,A1S3P218RBL9JY,45,Female,Right,Graduate Degree,Infinity,8,91-100%,21-30%,11-20%,0-10%,21-30%,11-20%,31-40%,21-30%,0-10%,91-100%,91-100%,Non-Solver
CR_Conf,A1S7WGRS6BVBGW,39,Female,Right,College,There is no way to know without additional information,6,11-20%,0-10%,0-10%,0-10%,11-20%,11-20%,21-30%,11-20%,11-20%,51-60%,71-80%,Non-Solver
CR_Conf,A1S88VQY8G8CNC,63,Male,Right,College,1000 seconds,1,11-20%,21-30%,0-10%,21-30%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,0-10%,Non-Solver
CR_Conf,A1SBGHP430ZVZ1,27,Prefer not to say,Left,High School/GED,1000 hours,3,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,11-20%,11-20%,0-10%,0-10%,11-20%,Non-Solver
CR_Conf,A1SCLZJMXYG630,37,Male,Right,Graduate Degree,2000 hours,7,31-40%,0-10%,0-10%,0-10%,0-10%,0-10%,21-30%,31-40%,0-10%,11-20%,11-20%,Non-Solver
CR_Conf,A1SFS9OSGRXODZ,49,Male,Right,High School/GED,1000000 hours,2,0-10%,0-10%,11-20%,0-10%,0-10%,31-40%,41-50%,41-50%,61-70%,41-50%,0-10%,Non-Solver
CR_Conf,A1SIUJEL2LS8UO,30,Male,Right,College,1 second,6,21-30%,41-50%,11-20%,31-40%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,Non-Solver
CR_Conf,A1SP4XA17LVUQI,32,Female,Left,High School/GED,1000 hours,6,31-40%,0-10%,0-10%,0-10%,11-20%,11-20%,31-40%,21-30%,0-10%,0-10%,0-10%,Non-Solver
CR_Conf,A1ST0FIJXMNPPW,21,Male,Both hands are equally strong,High School/GED,1 hour,2,0-10%,0-10%,0-10%,0-10%,11-20%,21-30%,0-10%,0-10%,0-10%,11-20%,11-20%,Solver
CR_Conf,A1SUHA3IDGN3LO,28,Male,Right,Graduate Degree,1000 seconds,8,71-80%,41-50%,61-70%,31-40%,21-30%,31-40%,41-50%,41-50%,31-40%,51-60%,41-50%,Non-Solver
CR_Conf,A1SXYET0NA1IY5,30,Male,Right,College,There is no way to know without additional information,7,41-50%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,11-20%,41-50%,Non-Solver
CR_Conf,A1SYKMD6FC8BD3,28,Female,Right,Graduate Degree,1000 minutes,6,51-60%,11-20%,21-30%,11-20%,21-30%,51-60%,31-40%,11-20%,21-30%,51-60%,31-40%,Non-Solver
CR_Conf,A1TA2I82B8DJSA,37,Male,Left,Graduate Degree,There is no way to know without additional information,8,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,Non-Solver
CR_Conf,A1TLNLB9D87H6,35,Female,Left,College,1000 minutes,1,0-10%,0-10%,0-10%,0-10%,31-40%,41-50%,51-60%,31-40%,0-10%,0-10%,0-10%,Non-Solver
CR_Conf,A1TM0YUPC90UFZ,63,Male,Right,College,Infinity,10,11-20%,0-10%,0-10%,0-10%,0-10%,21-30%,31-40%,41-50%,51-60%,11-20%,71-80%,Non-Solver
CR_Conf,A1TMF8Z3VT364E,37,Female,Right,College,There is no way to know without additional information,4,11-20%,0-10%,0-10%,0-10%,11-20%,0-10%,11-20%,11-20%,21-30%,31-40%,41-50%,Non-Solver
CR_Conf,A1TSD3O3C3ZUT6,27,Male,Right,High School/GED,1000 seconds,4,31-40%,11-20%,31-40%,41-50%,51-60%,61-70%,41-50%,21-30%,21-30%,11-20%,11-20%,Non-Solver
CR_Conf,A1TU2A8SKSYGY,24,Male,Left,College,Infinity,9,51-60%,21-30%,0-10%,21-30%,0-10%,31-40%,31-40%,41-50%,51-60%,41-50%,61-70%,Non-Solver
CR_Conf,A1TUI63TLCHYMR,40,Female,Right,Graduate Degree,1 hour,9,71-80%,61-70%,71-80%,51-60%,41-50%,51-60%,61-70%,71-80%,81-90%,71-80%,81-90%,Solver
CR_Conf,A1TYMXIYUUUL6F,31,Male,Left,College,1000 hours,2,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver
CR_Conf,A1TZCSZA0IQ6JB,27,Male,Right,Graduate Degree,1 minute,6,41-50%,31-40%,61-70%,51-60%,61-70%,71-80%,51-60%,41-50%,31-40%,51-60%,51-60%,Non-Solver
CR_Conf,A1U1GMBTI1BGL2,29,Male,Right,College,1 minute,8,41-50%,51-60%,31-40%,71-80%,61-70%,31-40%,41-50%,71-80%,71-80%,41-50%,51-60%,Non-Solver
CR_Conf,A1U3TT3VMH9FU9,24,Female,Right,College,Infinity,7,41-50%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,Non-Solver
CR_Conf,A1UCWQNS6WL35N,36,Female,Right,Graduate Degree,1000 seconds,8,31-40%,11-20%,11-20%,21-30%,41-50%,51-60%,41-50%,21-30%,21-30%,11-20%,11-20%,Non-Solver
CR_Conf,A1ULZEKGAZ6D0E,26,Female,Right,Graduate Degree,1 minute,6,11-20%,11-20%,21-30%,31-40%,41-50%,51-60%,61-70%,61-70%,71-80%,51-60%,51-60%,Non-Solver
CR_Conf,A1USDMJVT10CE4,26,Male,Right,College,1 hour,4,21-30%,31-40%,31-40%,31-40%,31-40%,31-40%,21-30%,21-30%,11-20%,11-20%,11-20%,Solver
CR_Conf,A1USR9JCAMDGM3,33,Female,Right,High School/GED,1000 minutes,1,11-20%,0-10%,11-20%,11-20%,41-50%,41-50%,41-50%,31-40%,0-10%,21-30%,31-40%,Non-Solver
CR_Conf,A1USST4VUQUHGF,28,Female,Right,Graduate Degree,1 hour,8,41-50%,71-80%,71-80%,61-70%,61-70%,51-60%,61-70%,71-80%,71-80%,61-70%,71-80%,Solver
CR_Conf,A1UT24L635HEZ6,36,Male,Right,College,1 hour,6,21-30%,0-10%,0-10%,0-10%,0-10%,21-30%,0-10%,0-10%,0-10%,11-20%,41-50%,Solver
CR_Conf,A1V0L5FYLMAHTG,62,Female,Right,College,1 hour,3,21-30%,0-10%,0-10%,0-10%,11-20%,71-80%,61-70%,51-60%,41-50%,71-80%,51-60%,Solver
CR_Conf,A1V1Q9L3DG40WQ,24,Male,Right,Graduate Degree,1 minute,5,41-50%,21-30%,11-20%,81-90%,31-40%,61-70%,41-50%,71-80%,51-60%,0-10%,11-20%,Non-Solver
CR_Conf,A1V2AXAOP2XLND,43,Male,Left,Graduate Degree,2000 hours,3,21-30%,0-10%,0-10%,11-20%,21-30%,61-70%,21-30%,31-40%,11-20%,71-80%,71-80%,Non-Solver
CR_Conf,A1V2H0UF94ATWY,59,Male,Right,High School/GED,1 hour,5,31-40%,0-10%,0-10%,0-10%,11-20%,61-70%,0-10%,0-10%,0-10%,0-10%,11-20%,Solver
CR_Conf,A1V5VJE32G7HDE,48,Female,Left,High School/GED,1000000 hours,1,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,31-40%,31-40%,31-40%,31-40%,Non-Solver
CR_Conf,A1VAL7L9L79IN0,28,Male,Right,High School/GED,There is no way to know without additional information,3,0-10%,0-10%,0-10%,11-20%,11-20%,0-10%,0-10%,0-10%,0-10%,31-40%,41-50%,Non-Solver
CR_Conf,A1VC6F0FYG1L5I,36,Female,Right,College,There is no way to know without additional information,5,41-50%,0-10%,0-10%,0-10%,21-30%,21-30%,21-30%,0-10%,0-10%,0-10%,21-30%,Non-Solver
CR_Conf,A1VCAMP3XM62R4,36,Male,Right,High School/GED,1 hour,6,31-40%,0-10%,21-30%,11-20%,31-40%,61-70%,31-40%,31-40%,11-20%,41-50%,41-50%,Solver
CR_Conf,A1VDJ5IGNKQBLU,31,Female,Right,College,There is no way to know without additional information,1,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,Non-Solver
CR_Conf,A1VDWLPTE2XC88,31,Male,Left,Graduate Degree,There is no way to know without additional information,8,0-10%,0-10%,11-20%,0-10%,11-20%,0-10%,11-20%,11-20%,11-20%,0-10%,41-50%,Non-Solver
CR_Conf,A1VDWLPTE2XC88,31,Male,Left,Graduate Degree,There is no way to know without additional information,8,0-10%,0-10%,11-20%,0-10%,11-20%,0-10%,11-20%,11-20%,11-20%,11-20%,31-40%,Non-Solver
CR_Conf,A1VE1CAMPSYRHE,44,Female,Right,College,1000 hours,3,41-50%,0-10%,0-10%,0-10%,0-10%,21-30%,21-30%,0-10%,0-10%,11-20%,0-10%,Non-Solver
CR_Conf,A1VEEZ5D9WXZIV,53,Female,Left,High School/GED,Infinity,4,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,Non-Solver
CR_Conf,A1VFIUM6FD1D2M,57,Male,Right,College,Infinity,9,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,0-10%,Non-Solver
